title,series,rating,category,episode,description,image,video,slug
Manaria Friends Episode 1,Manaria Friends,N/A,"Action,Adventure,Demons,Supernatural,Magic,Fantasy",1,"Nonton Manaria Friends Sub Indo - Mysteria Academy adalah sekolah sihir bergengsi yang mengajarkan sihir tanpa diskriminasi kepada tiga faksi (pria, dewa, setan), yang biasanya terlibat dalam pertempuran satu sama lain. Dua siswa akademi adalah Anne, seorang putri dan siswa teladan, dan Grea, seorang putri yang lahir dari naga dan manusia.",https://cdn.myanimelist.net/images/anime/1580/95199.jpg,"https://r3---sn-aigzrn7s.googlevideo.com/videoplayback?id=19318b226d315909&itag=18&source=blogger&mm=31&mn=sn-aigzrn7s&ms=au&mv=u&pl=48&ei=BxomXJX_HtaQuAWtgaSICw&susc=bl&mime=video/mp4&dur=704.981&lmt=1545760464244052&mt=1546000259&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546029703&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=DCC25EC72B376DAEEC02862C79F87F0903A86ACA20FB4C6683AC5C037EA2AEF4.9ADA9745341DDAB8B79EE99CAF4649A343242F8FF31E7B5711904625B62D2434&key=us0 ",manaria-friends-episode-1
Chuukan Kanriroku Tonegawa Episode 24,Chuukan Kanriroku Tonegawa,6.8,"Comedy, Drama, Parody, Psychological, Seinen",24,"Nonton Chuukan Kanriroku Tonegawa Sub Indo - Chuukan Kanriroku Tonegawa adalah spin-off dari seri Kaiji, yang mengikuti Tonegawa, tangan kanan dari Kazutaka Hyoudou, presiden Teiai Corporation dan pemilik banyak turnamen judi. Setelah Hyoudou mulai bosan dengan hidupnya, dia memerintahkan Tonegawa untuk mengatur apa yang disebut ""permainan kematian"" karena itu adalah tugasnya dan bawahannya untuk menjaga presiden dalam suasana hati yang baik. Tonegawa harus bekerja sama dengan bawahannya untuk membuat presiden bahagia dan yang berikutnya adalah cerita lucu dari interaksinya dengan bawahannya dan karakter lain dari seri Kaiji.",https://myanimelist.cdn-dena.com/images/anime/1072/93145.jpg,"https://r2---sn-aigzrn7d.googlevideo.com/videoplayback?id=21c2e5151d0c0c22&itag=18&source=blogger&mm=31&mn=sn-aigzrn7d&ms=au&mv=u&pl=48&ei=DhomXOzhJ8KO_APmhLbwCQ&susc=bl&mime=video/mp4&dur=1380.356&lmt=1545801545121693&mt=1546000259&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546029710&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=9AA865F9BBD07AD2057F2118B7BCC537BC65D6B0B6DC1424A7495B3A4F020663.603776DC9E215DED6B1C8E10D8740F6605B6E987FD9AB331522A9E5F845F49A4&key=us0 ",chuukan-kanriroku-tonegawa-episode-24
Gaikotsu Shotenin Honda-san Episode 12,Gaikotsu Shotenin Honda-san,6.9,"Comedy,SliceofLife,Supernatural",12,Nonton Gaikotsu Shotenin Honda-san Sub Indo - Kisah komedi yang berpusat pada sebuah kerangka bernama Honda yang bekerja di toko buku. Kisah-kisah keseharian dia dalam menjaga toko buku di bagian manga.,https://myanimelist.cdn-dena.com/images/anime/1555/93865.jpg,"https://r4---sn-aigl6nl7.googlevideo.com/videoplayback?id=e7a9e12160e1d84a&itag=18&source=blogger&mm=31&mn=sn-aigl6nl7&ms=au&mv=u&pl=48&ei=FRomXLLaKc7euQXc16OQDg&susc=bl&mime=video/mp4&dur=692.233&lmt=1545870682068574&mt=1546000259&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546029717&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=CB69DC538C6D58443D0D6BAF21CDD6FF65302394DE701C8C8C029C6905D36005.749B57C8259DC0AB664F5E3D2A3AADC558D060E653DD7D6526AF9D0247E984E3&key=us0 ",gaikotsu-shotenin-honda-san-episode-12
Tokyo Ghoul:re S2 Episode 12,Tokyo Ghoul:re S2,7.11,"Action,Drama,Horror,Mystery,Psychological,Seinen,Supernatural",12,Nonton Tokyo Ghoul:re Season 2 Sub Indo - musim kedua Tokyo Ghoul:re.,https://myanimelist.cdn-dena.com/images/anime/1719/93889.jpg,"https://r4---sn-aigl6nl7.googlevideo.com/videoplayback?id=e29dba11062d8235&itag=18&source=blogger&mm=31&mn=sn-aigl6nl7&ms=au&mv=u&pl=48&ei=HxomXICsPM7YuAWGtoBQ&susc=bl&mime=video/mp4&dur=1457.330&lmt=1545756150083346&mt=1546000259&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546029727&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=B90423E9D54FF61FA1408B2384D03BA1B8A6911B38625119D593940AAF4FDED7.89B98B40712EEF19D4AEAFB1C707C05A5B79E372BF74D66D5B4D344AE5C2EDDC&key=us0 ",tokyo-ghoul:re-s2-episode-12
Conception Episode 12,Conception,5.4,"Action,Adventure,Fantasy,Harem,Magic,Romance",12,"Nonton Conception Sub Indo - Pada hari kelulusan SMA-nya, sepupu Itsuki, Mahiru, mengatakan kepadanya bahwa dia hamil. Saat itu, sebuah gerbang cahaya muncul dan mengangkut keduanya ke dunia Granvania. Di tanah ini, “Kotoran” telah menyebabkan gangguan pada Bintang, akhirnya menjerumuskan Granvania ke dalam kekacauan dan kekacauan. Dan Itsuki, sekarang terungkap menjadi orang yang ditakdirkan untuk bertemu dengan “Gadis Bintang”, dilihat sebagai harapan terakhir Granvania dan dengan demikian diberi tugas untuk menghasilkan “Anak Bintang” dan memerangi “Kotoran”. Dan sampai tugas selesai, Itsuki mungkin tidak akan pernah bisa pulang ke rumah.",https://myanimelist.cdn-dena.com/images/anime/1849/95019.jpg,"https://r5---sn-aigzrn76.googlevideo.com/videoplayback?id=3a224d885904889c&itag=18&source=blogger&mm=31&mn=sn-aigzrn76&ms=au&mv=u&pl=48&ei=JxomXK3fHZDcuAX90I_ICQ&susc=bl&mime=video/mp4&dur=1420.202&lmt=1545798162304853&mt=1546000259&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546029735&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=73EE75299103C4948273F4026765CFD0F0E354DDEA113D082C0C1932BCC3B3B6.9BF45359B0E6E389D6BECFB8CFCA04372899339ED993C9CC2944B0D06ED03158&key=us0 ",conception-episode-12
Hangyakusei Million Arthur Episode 9,Hangyakusei Million Arthur,6.8,"Action,Adventure,Fantasy,Magic",9,"Nonton Hangyakusei Million Arthur Sub Indo - Excalibur merupakan senjata kuat yang mampu menyebabkan distorsi sejarah. Untuk mengatasinya, keenam Arthur yang terdiri dari Danchou Arthur, Tekken Arthur, Yamaneko Arthur, Renkin Arthur, Kakka Arthur, dan Rurou Arthur, melakukan perjalanan ke masa lalu untuk menghancurkan Excalibur. Tidak main-main, jumlah Excalibur itu adalah sebanyak satu juta. Ini adalah kisah para Arthur untuk melindungi sejarah dan masa depan.",https://myanimelist.cdn-dena.com/images/anime/1881/93383.jpg,"https://r3---sn-aigzrn7k.googlevideo.com/videoplayback?id=80dd8093c39bf9ba&itag=18&source=blogger&mm=31&mn=sn-aigzrn7k&ms=au&mv=u&pl=48&ei=LhomXNa7GJDiuwXKrpPABg&susc=bl&mime=video/mp4&dur=1440.101&lmt=1545767555468679&mt=1546000259&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546029742&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=0AD151E422A1322274D3D7A8DC7A93F8984B55FF3228CFE703AA9D5EBFBB2A7F.C8B2DFDD583C70EBDC633C0E53DE13F115D628284DCD3B8BFC3ABFE1D22412E4&key=us0 ",hangyakusei-million-arthur-episode-9
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Episode 13,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,7.8,"Comedy,Supernatural,Romance,School",13,"Nonton Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Sub Indo - Pubertas Syndrome — sindrom yang diisukan dan misterius yang hanya memengaruhi mereka di masa puber. Sebagai contoh, seorang gadis kelinci tiba-tiba muncul di depan Sakuta Azusagawa. Identitas nyata gadis kelinci adalah Mai Sakurajima, seorang selebritas remaja yang saat ini adalah seorang siswa SMA yang tidak aktif. Untuk beberapa alasan, sosok menawannya tidak mencerminkan di mata orang lain. Dalam perjalanan mengungkap misteri di balik fenomena ini, Sakuta mulai mengeksplorasi perasaannya terhadap Mai. Terletak di sebuah kota di mana langit dan laut bersinar, Sakuta mengungkapkan makna di balik pertemuan anehnya pada wanita dengan sindrom tersebut.",https://myanimelist.cdn-dena.com/images/anime/1301/93586.jpg,"https://r2---sn-aigzrn7d.googlevideo.com/videoplayback?id=67239d81724561e5&itag=18&source=blogger&mm=31&mn=sn-aigzrn7d&ms=au&mv=u&pl=48&ei=NRomXPWKH9Kk-gPggLnABg&susc=bl&mime=video/mp4&dur=1499.823&lmt=1545868092504349&mt=1546000259&ip=2a02:4780:3:3:57f5:3367:95ca:f405&ipbits=0&expire=1546029749&sparams=ip,ipbits,expire,id,itag,source,mm,mn,ms,mv,pl,ei,susc,mime,dur,lmt&signature=D4F3C687065E9301FD8B5E86141934F909B30BA741517AEDC78530186E3A4821.0670844F2EE2CDC25166DCFFEA013BE9AD15E16268CD930B65BDFFC0AB1A833C&key=us0 ",seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai-episode-13
